"date","inst","party","value","color"
2014-04-20,"Emnid","cdu",40,"#373737"
2014-04-13,"Emnid","cdu",42,"#373737"
2014-04-06,"Emnid","cdu",41,"#373737"
2014-03-30,"Emnid","cdu",41,"#373737"
2014-03-23,"Emnid","cdu",41,"#373737"
2014-03-16,"Emnid","cdu",41,"#373737"
2014-03-09,"Emnid","cdu",42,"#373737"
2014-03-02,"Emnid","cdu",40,"#373737"
2014-02-23,"Emnid","cdu",41,"#373737"
2014-02-16,"Emnid","cdu",41,"#373737"
2014-02-09,"Emnid","cdu",42,"#373737"
2014-02-02,"Emnid","cdu",42,"#373737"
2014-01-26,"Emnid","cdu",41,"#373737"
2014-01-19,"Emnid","cdu",41,"#373737"
2014-01-12,"Emnid","cdu",42,"#373737"
2013-12-22,"Emnid","cdu",41,"#373737"
2013-12-15,"Emnid","cdu",42,"#373737"
2013-12-08,"Emnid","cdu",42,"#373737"
2013-12-01,"Emnid","cdu",41,"#373737"
2013-11-24,"Emnid","cdu",42,"#373737"
2013-11-17,"Emnid","cdu",41,"#373737"
2013-11-10,"Emnid","cdu",41,"#373737"
2013-11-03,"Emnid","cdu",42,"#373737"
2013-10-27,"Emnid","cdu",41,"#373737"
2013-10-20,"Emnid","cdu",42,"#373737"
2013-10-13,"Emnid","cdu",42,"#373737"
2013-10-06,"Emnid","cdu",42,"#373737"
2013-09-29,"Emnid","cdu",43,"#373737"
2017-06-28,"Forsa","cdu",40,"#373737"
2017-06-21,"Forsa","cdu",39,"#373737"
2017-06-13,"Forsa","cdu",38,"#373737"
2017-06-07,"Forsa","cdu",39,"#373737"
2017-05-31,"Forsa","cdu",38,"#373737"
2017-05-23,"Forsa","cdu",39,"#373737"
2017-05-17,"Forsa","cdu",38,"#373737"
2017-05-10,"Forsa","cdu",36,"#373737"
2017-05-03,"Forsa","cdu",36,"#373737"
2017-04-26,"Forsa","cdu",36,"#373737"
2017-04-19,"Forsa","cdu",36,"#373737"
2017-04-11,"Forsa","cdu",36,"#373737"
2017-04-04,"Forsa","cdu",36,"#373737"
2017-03-29,"Forsa","cdu",34,"#373737"
2017-03-22,"Forsa","cdu",34,"#373737"
2017-03-15,"Forsa","cdu",33,"#373737"
2017-03-08,"Forsa","cdu",33,"#373737"
2017-03-01,"Forsa","cdu",33,"#373737"
2017-02-22,"Forsa","cdu",34,"#373737"
2017-02-15,"Forsa","cdu",34,"#373737"
2017-02-08,"Forsa","cdu",34,"#373737"
2017-02-01,"Forsa","cdu",35,"#373737"
2017-01-25,"Forsa","cdu",37,"#373737"
2017-01-18,"Forsa","cdu",38,"#373737"
2017-01-11,"Forsa","cdu",37,"#373737"
2017-01-04,"Forsa","cdu",37,"#373737"
2016-12-28,"Forsa","cdu",38,"#373737"
2016-12-20,"Forsa","cdu",36,"#373737"
2016-12-14,"Forsa","cdu",37,"#373737"
2016-12-07,"Forsa","cdu",36,"#373737"
2016-11-30,"Forsa","cdu",37,"#373737"
2016-11-23,"Forsa","cdu",36,"#373737"
2016-11-16,"Forsa","cdu",35,"#373737"
2016-11-09,"Forsa","cdu",34,"#373737"
2016-11-02,"Forsa","cdu",34,"#373737"
2016-10-26,"Forsa","cdu",35,"#373737"
2016-10-19,"Forsa","cdu",34,"#373737"
2016-10-12,"Forsa","cdu",34,"#373737"
2016-10-05,"Forsa","cdu",33,"#373737"
2016-09-28,"Forsa","cdu",33,"#373737"
2016-09-21,"Forsa","cdu",33,"#373737"
2016-09-14,"Forsa","cdu",32,"#373737"
2016-09-07,"Forsa","cdu",33,"#373737"
2016-08-31,"Forsa","cdu",33,"#373737"
2016-08-24,"Forsa","cdu",35,"#373737"
2016-08-17,"Forsa","cdu",36,"#373737"
2016-08-10,"Forsa","cdu",36,"#373737"
2016-08-03,"Forsa","cdu",35,"#373737"
2016-07-26,"Forsa","cdu",35,"#373737"
2016-07-20,"Forsa","cdu",35,"#373737"
2016-07-13,"Forsa","cdu",36,"#373737"
2016-07-06,"Forsa","cdu",35,"#373737"
2016-06-28,"Forsa","cdu",34,"#373737"
2016-06-22,"Forsa","cdu",33,"#373737"
2016-06-15,"Forsa","cdu",33,"#373737"
2016-06-08,"Forsa","cdu",34,"#373737"
2016-06-01,"Forsa","cdu",34,"#373737"
2016-05-24,"Forsa","cdu",33,"#373737"
2016-05-17,"Forsa","cdu",34,"#373737"
2016-05-11,"Forsa","cdu",34,"#373737"
2016-05-03,"Forsa","cdu",34,"#373737"
2016-04-27,"Forsa","cdu",33,"#373737"
2016-04-20,"Forsa","cdu",34,"#373737"
2016-04-13,"Forsa","cdu",34,"#373737"
2016-04-06,"Forsa","cdu",35,"#373737"
2016-03-30,"Forsa","cdu",36,"#373737"
2016-03-22,"Forsa","cdu",35,"#373737"
2016-03-16,"Forsa","cdu",35,"#373737"
2016-03-09,"Forsa","cdu",35,"#373737"
2016-03-02,"Forsa","cdu",35,"#373737"
2016-02-24,"Forsa","cdu",35,"#373737"
2016-02-17,"Forsa","cdu",35,"#373737"
2016-02-10,"Forsa","cdu",36,"#373737"
2016-02-03,"Forsa","cdu",36,"#373737"
2016-01-27,"Forsa","cdu",36,"#373737"
2016-01-19,"Forsa","cdu",37,"#373737"
2016-01-13,"Forsa","cdu",38,"#373737"
2016-01-06,"Forsa","cdu",38,"#373737"
2015-12-29,"Forsa","cdu",38,"#373737"
2015-12-22,"Forsa","cdu",39,"#373737"
2015-12-15,"Forsa","cdu",39,"#373737"
2015-12-09,"Forsa","cdu",38,"#373737"
2015-12-02,"Forsa","cdu",39,"#373737"
2015-11-25,"Forsa","cdu",39,"#373737"
2015-11-17,"Forsa","cdu",36,"#373737"
2015-11-11,"Forsa","cdu",38,"#373737"
2015-11-04,"Forsa","cdu",36,"#373737"
2015-10-28,"Forsa","cdu",36,"#373737"
2015-10-21,"Forsa","cdu",38,"#373737"
2015-10-14,"Forsa","cdu",38,"#373737"
2015-10-07,"Forsa","cdu",39,"#373737"
2015-09-30,"Forsa","cdu",40,"#373737"
2015-09-23,"Forsa","cdu",40,"#373737"
2015-09-16,"Forsa","cdu",41,"#373737"
2015-09-09,"Forsa","cdu",41,"#373737"
2015-09-02,"Forsa","cdu",40,"#373737"
2015-08-26,"Forsa","cdu",41,"#373737"
2015-08-19,"Forsa","cdu",43,"#373737"
2015-08-12,"Forsa","cdu",43,"#373737"
2015-08-05,"Forsa","cdu",41,"#373737"
2015-07-29,"Forsa","cdu",42,"#373737"
2015-07-22,"Forsa","cdu",41,"#373737"
2015-07-14,"Forsa","cdu",42,"#373737"
2015-07-08,"Forsa","cdu",42,"#373737"
2015-07-01,"Forsa","cdu",42,"#373737"
2015-06-24,"Forsa","cdu",41,"#373737"
2015-06-17,"Forsa","cdu",41,"#373737"
2015-06-10,"Forsa","cdu",41,"#373737"
2015-06-02,"Forsa","cdu",40,"#373737"
2015-05-27,"Forsa","cdu",39,"#373737"
2015-05-20,"Forsa","cdu",40,"#373737"
2015-05-12,"Forsa","cdu",41,"#373737"
2015-05-06,"Forsa","cdu",42,"#373737"
2015-04-29,"Forsa","cdu",42,"#373737"
2015-04-22,"Forsa","cdu",42,"#373737"
2015-04-15,"Forsa","cdu",42,"#373737"
2015-04-08,"Forsa","cdu",42,"#373737"
2015-03-31,"Forsa","cdu",42,"#373737"
2015-03-25,"Forsa","cdu",41,"#373737"
2015-03-18,"Forsa","cdu",41,"#373737"
2015-03-11,"Forsa","cdu",41,"#373737"
2015-03-04,"Forsa","cdu",41,"#373737"
2015-02-25,"Forsa","cdu",42,"#373737"
2015-02-18,"Forsa","cdu",43,"#373737"
2015-02-11,"Forsa","cdu",42,"#373737"
2015-02-04,"Forsa","cdu",42,"#373737"
2015-01-28,"Forsa","cdu",42,"#373737"
2015-01-21,"Forsa","cdu",42,"#373737"
2015-01-14,"Forsa","cdu",42,"#373737"
2015-01-07,"Forsa","cdu",42,"#373737"
2015-01-01,"Forsa","cdu",42,"#373737"
2014-12-16,"Forsa","cdu",43,"#373737"
2014-12-10,"Forsa","cdu",41,"#373737"
2014-12-03,"Forsa","cdu",41,"#373737"
2014-11-26,"Forsa","cdu",42,"#373737"
2014-11-19,"Forsa","cdu",42,"#373737"
2014-11-12,"Forsa","cdu",41,"#373737"
2014-11-05,"Forsa","cdu",41,"#373737"
2014-10-29,"Forsa","cdu",41,"#373737"
2014-10-22,"Forsa","cdu",41,"#373737"
2014-10-15,"Forsa","cdu",40,"#373737"
2014-10-07,"Forsa","cdu",41,"#373737"
2014-10-01,"Forsa","cdu",42,"#373737"
2014-09-23,"Forsa","cdu",42,"#373737"
2014-09-17,"Forsa","cdu",41,"#373737"
2014-09-10,"Forsa","cdu",42,"#373737"
2014-09-03,"Forsa","cdu",41,"#373737"
2014-08-27,"Forsa","cdu",42,"#373737"
2014-08-20,"Forsa","cdu",42,"#373737"
2014-08-13,"Forsa","cdu",42,"#373737"
2014-08-06,"Forsa","cdu",43,"#373737"
2014-07-30,"Forsa","cdu",43,"#373737"
2014-07-23,"Forsa","cdu",43,"#373737"
2014-07-16,"Forsa","cdu",41,"#373737"
2014-07-09,"Forsa","cdu",41,"#373737"
2014-07-02,"Forsa","cdu",41,"#373737"
2014-06-25,"Forsa","cdu",41,"#373737"
2014-06-17,"Forsa","cdu",39,"#373737"
2014-06-11,"Forsa","cdu",39,"#373737"
2014-06-04,"Forsa","cdu",38,"#373737"
2014-05-27,"Forsa","cdu",40,"#373737"
2014-05-21,"Forsa","cdu",40,"#373737"
2014-05-14,"Forsa","cdu",40,"#373737"
2014-05-07,"Forsa","cdu",41,"#373737"
2014-04-29,"Forsa","cdu",41,"#373737"
2014-04-23,"Forsa","cdu",41,"#373737"
2014-04-15,"Forsa","cdu",41,"#373737"
2014-04-09,"Forsa","cdu",42,"#373737"
2014-04-02,"Forsa","cdu",42,"#373737"
2014-03-26,"Forsa","cdu",41,"#373737"
2014-03-19,"Forsa","cdu",42,"#373737"
2014-03-12,"Forsa","cdu",42,"#373737"
2014-03-05,"Forsa","cdu",40,"#373737"
2014-02-26,"Forsa","cdu",41,"#373737"
2014-02-19,"Forsa","cdu",40,"#373737"
2014-02-12,"Forsa","cdu",41,"#373737"
2014-02-05,"Forsa","cdu",42,"#373737"
2014-01-29,"Forsa","cdu",42,"#373737"
2014-01-22,"Forsa","cdu",41,"#373737"
2014-01-15,"Forsa","cdu",40,"#373737"
2014-01-08,"Forsa","cdu",41,"#373737"
2014-01-01,"Forsa","cdu",42,"#373737"
2013-12-17,"Forsa","cdu",42,"#373737"
2013-12-11,"Forsa","cdu",43,"#373737"
2013-12-04,"Forsa","cdu",42,"#373737"
2013-11-27,"Forsa","cdu",42,"#373737"
2013-11-20,"FGW","cdu",41,"#373737"
2013-11-13,"FGW","cdu",41,"#373737"
2013-11-06,"FGW","cdu",42,"#373737"
2013-10-30,"FGW","cdu",42,"#373737"
2013-10-23,"FGW","cdu",43,"#373737"
2013-10-16,"FGW","cdu",44,"#373737"
2013-10-09,"FGW","cdu",45,"#373737"
2013-10-01,"FGW","cdu",42,"#373737"
2017-06-23,"FGW","cdu",39,"#373737"
2017-06-02,"FGW","cdu",39,"#373737"
2017-05-19,"FGW","cdu",38,"#373737"
2017-04-28,"FGW","cdu",37,"#373737"
2017-04-07,"FGW","cdu",35,"#373737"
2017-03-10,"FGW","cdu",34,"#373737"
2017-02-17,"FGW","cdu",34,"#373737"
2017-01-27,"FGW","cdu",36,"#373737"
2017-01-13,"FGW","cdu",36,"#373737"
2016-12-09,"FGW","cdu",36,"#373737"
2016-11-25,"FGW","cdu",36,"#373737"
2016-11-11,"FGW","cdu",34,"#373737"
2016-10-28,"FGW","cdu",33,"#373737"
2016-10-14,"FGW","cdu",34,"#373737"
2016-09-23,"FGW","cdu",33,"#373737"
2016-08-12,"FGW","cdu",35,"#373737"
2016-07-22,"FGW","cdu",35,"#373737"
2016-07-08,"FGW","cdu",34,"#373737"
2016-06-24,"FGW","cdu",34,"#373737"
2016-06-03,"FGW","cdu",33,"#373737"
2016-05-13,"FGW","cdu",33,"#373737"
2016-04-22,"FGW","cdu",33,"#373737"
2016-04-08,"FGW","cdu",36,"#373737"
2016-03-18,"FGW","cdu",35,"#373737"
2016-02-19,"FGW","cdu",36,"#373737"
2016-01-29,"FGW","cdu",37,"#373737"
2016-01-15,"FGW","cdu",37,"#373737"
2015-12-11,"FGW","cdu",39,"#373737"
2015-11-27,"FGW","cdu",39,"#373737"
2015-11-13,"FGW","cdu",39,"#373737"
2015-10-23,"FGW","cdu",39,"#373737"
2015-10-09,"FGW","cdu",41,"#373737"
2015-09-25,"FGW","cdu",41,"#373737"
